JOJI 88 UNIVERSAL METHOD TABLE AND MASTER SEAT DISCOVERY DRAFT
Created: 2026-05-16
Status: DISCOVERY / PLACEMENT DRAFT ONLY
Authority status: NOT ACTIVE DOCTRINE; NOT CURRENT TRUTH; NOT FINAL PASS
Work root: C:\Users\13527\Desktop\Clean Milk not-BLOAT
Source digest: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
Source digest SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
Current truth index read first: C:\Users\13527\Desktop\Clean Milk not-BLOAT\CURRENT_TRUTH_INDEX.txt
Current patch ID observed in CURRENT_TRUTH_INDEX.txt: CLEAN_SEED_PATCH_COMMAND_MAP_HOUSEKEEPING_LOCK

READING KEY
- EVIDENCE = directly stated in the named source file or directly observed in the inspected file lane.
- INFERENCE = a provisional working judgment from the evidence, made for discovery only.
- UNKNOWN = not established in this pass.
- Row fields sourced directly from the digest are EVIDENCE when copied from the digest.
- Row fields that classify, relate, score, or propose are INFERENCE unless explicitly marked UNKNOWN.

============================================================
SECTION 1 - SOURCE INTAKE

EVIDENCE:
- Source file exists: YES.
- Source path: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
- Source SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
- Source says numbered heading count is 88: YES.
- Group 1 present: Real-World Method Lenses, count 51.
- Group 2 present: Corrected Station Order, count 13.
- Group 3 present: Core Preservation / Control Concepts, count 10.
- Group 4 present: Minimum Operating Anchors, count 8.
- Group 5 present: Small Front-Door Pieces, count 6.
- Source status is proof-history-only: YES.
- Source install status is NOT ACTIVE DOCTRINE.
- Source boundary says it does not edit ACTIVE_GUIDES or CURRENT_TRUTH_INDEX and does not authorize cleanup, deletion, movement, overwrite, folder creation, promotion, or final PASS.
- ACTIVE_GUIDES edit during this task: NO.
- CURRENT_TRUTH_INDEX edit during this task: NO.
- Cleanup during this task: NO.
- Git action during this task: NO.
- SOURCE_PARSE_GAP: NO.

INFERENCE:
- The source digest is suitable as an ore body for discovery because it is bounded, counted, and self-declared as proof-history-only rather than active truth.

UNKNOWN:
- Whether the separate larger "180-item file" mentioned by the digest still exists was not inspected because it was not needed for the approved active target.

============================================================
SECTION 2 - SOURCE 88 METHOD TABLE

FIELD ORDER FOR EVERY ROW
ID | Source group | Source heading | Source line reference if available | Clean Seed use from source | Rule extracted from source | Plain meaning | Problem it helps solve | What it helps find | Likely station | Candidate role | Evidence needed | What it protects | Risk if missing | Risk if overused | Possible parent | Possible children | Possible cousins | Possible bridge links | Master-seat candidate? | Reason | Notes
S060 | Group 2 Corrected Station Order | SAVE | L1169 | UNKNOWN from source heading only | UNKNOWN from source heading only | Persist the result. | Ephemeral work. | Durable state. | SAVE | station support method | Save record. | Retention. | Lost work. | Saving noise. | S081 | S007,S029,S034,S044 | A084 | S061 | maybe | Necessary state boundary. | INFERENCE.
S061 | Group 2 Corrected Station Order | SEAL | L1192 | UNKNOWN from source heading only | UNKNOWN from source heading only | Make the saved state reviewable and tamper-evident. | Mutable ambiguity. | Stable proof package. | SEAL | evidence method | Hash, receipt, or immutable marker. | Integrity. | Later dispute. | Over-sealing drafts. | S065 | S010,S029,S044 | A084 | S062 | yes | Makes proof visible and harder to fake. | INFERENCE.
S062 | Group 2 Corrected Station Order | REVIEW / HANDOFF | L1215 | UNKNOWN from source heading only | UNKNOWN from source heading only | Recheck and pass forward cleanly. | Lone blind spots and weak transition. | Review readiness. | REVIEW / HANDOFF | authority method | Review note or handoff record. | Continuity. | Silent errors. | Review loops. | S011 | A034,A035,A050 | A087 | S063 | maybe | Crucial bridge but derivative. | INFERENCE.
S063 | Group 2 Corrected Station Order | PROMOTE / PARK / BLOCK | L1238 | UNKNOWN from source heading only | UNKNOWN from source heading only | Resolve the verdict into an allowed state. | No action path. | Active, parked, or blocked fate. | PROMOTE / PARK / BLOCK | master seat candidate | Decision record. | Boundary clarity. | Dirty activation or orphaned items. | Binary rigidity. | S082 | S031,S045,S046 | A077,A088 | S064 | yes | It is the verdict-to-action gate. | INFERENCE.
S064 | Group 2 Corrected Station Order | CONTINUE | L1261 | UNKNOWN from source heading only | UNKNOWN from source heading only | Return to the next bounded cycle. | Stagnation or drift. | Next clean step. | CONTINUE | parent method | Next-action note. | Forward motion. | Abandoned loops. | Motion without reflection. | S050 | S049,S073 | A068,A092 | S001 | maybe | Important loop closure. | INFERENCE.
S065 | Group 3 Core Preservation / Control Concepts | Proof custody | L1336 | UNKNOWN from source heading only | UNKNOWN from source heading only | Keep evidence traceable and intact. | Weak provenance. | Custody state. | CAPTURE / SAVE / SEAL | master seat candidate | Custody chain. | Evidence integrity. | False proof. | Friction. | S003 | S007,S010,S029,S061 | A084 | S032 | yes | Foundational to truth-finding. | INFERENCE.
S066 | Group 3 Core Preservation / Control Concepts | Authority separation | L1339 | UNKNOWN from source heading only | UNKNOWN from source heading only | Keep roles from silently becoming bosses. | Command bleed. | Who may decide what. | AUTHORITY | master seat candidate | Role matrix. | Legitimate control. | Hidden promotion. | Excessive handoff. | S052 | S030,S046 | A087,A093 | S063 | yes | Dependency for safe action boundaries. | INFERENCE.
S067 | Group 3 Core Preservation / Control Concepts | Role separation | L1342 | UNKNOWN from source heading only | UNKNOWN from source heading only | Separate observation, judgment, action, and review roles. | State collapse. | Distinct responsibilities. | AUTHORITY / REVIEW | authority method | Role definitions. | Clean flow. | Confused accountability. | Fragmentation. | S066 | S007,S011,S030 | A087 | S062 | maybe | Strong child of authority separation. | INFERENCE.
S068 | Group 3 Core Preservation / Control Concepts | Context preservation | L1345 | UNKNOWN from source heading only | UNKNOWN from source heading only | Keep surrounding meaning attached. | Orphan evidence. | Why an item matters. | PLACE / SAVE | master seat candidate | Provenance and link context. | Interpretability. | Misread artifacts. | Over-annotation. | S065 | S038,S039 | A083,A084 | S037 | yes | Protects meaning, not just bytes. | INFERENCE.
S069 | Group 3 Core Preservation / Control Concepts | Stop-line authority | L1348 | UNKNOWN from source heading only | UNKNOWN from source heading only | Halt when conditions are unsafe. | Continued damage. | Break conditions. | FREEZE / BLOCK | master seat candidate | Stop criteria. | Safety. | Cascading failure. | False alarms. | S054 | S017,S023,S025 | A057 | S063 | yes | Directly blocks serious known failure modes. | INFERENCE.
S070 | Group 3 Core Preservation / Control Concepts | Optional triage | L1351 | UNKNOWN from source heading only | UNKNOWN from source heading only | Prioritize when risk warrants, without making triage sovereign. | Emergency sprawl. | Urgency. | JUDGE | optional special lens | Triage rule. | Route clarity. | Buried urgent items. | Permanent crisis mode. | S014 | S005 | A057 | S058 | no | Explicitly optional. | INFERENCE.
S071 | Group 3 Core Preservation / Control Concepts | No identity promotion | L1354 | UNKNOWN from source heading only | UNKNOWN from source heading only | Identity or location does not equal authority. | Promotion by label or proximity. | False active truth. | AUTHORITY / PROMOTE | master seat candidate | Promotion proof. | Truth boundary. | Dirty activation. | Suspicion of harmless context. | S041 | S031,S035,S045 | A041 | S066 | yes | Directly protects active truth. | INFERENCE.
S072 | Group 3 Core Preservation / Control Concepts | No hidden deletion | L1357 | UNKNOWN from source heading only | UNKNOWN from source heading only | Deletion must be explicit, never incidental. | Silent loss. | Deletion attempt. | BLOCK | master seat candidate | Deletion gate. | Evidence survival. | Irrecoverable loss. | Keeping junk forever. | S034 | A085,A095 | S033 | S069 | yes | Known high-damage failure mode. | INFERENCE.
S073 | Group 3 Core Preservation / Control Concepts | Feedback loop | L1360 | UNKNOWN from source heading only | UNKNOWN from source heading only | Reviewed outcomes feed the next cycle. | No learning. | Pattern change. | CONTINUE | parent method | Reviewed feedback. | Adaptation. | Repeated mistakes. | Churn. | S050 | S028,S049 | A068,A089 | S064 | maybe | Important parent, not earliest dependency. | INFERENCE.
S074 | Group 3 Core Preservation / Control Concepts | Bloat control | L1363 | UNKNOWN from source heading only | UNKNOWN from source heading only | Control structure without rule accretion. | Ceremony creep. | Over-control. | MULTI-STATION | master seat candidate | Burden test. | Simplicity. | Tool becomes bureaucracy. | Under-control if fetishized. | S082 | S017,S027,S040 | A077 | S064 | yes | Prevents known failure mode of the project itself. | INFERENCE.
S075 | Group 4 Minimum Operating Anchors | One authority boundary | L1397 | UNKNOWN from source heading only | UNKNOWN from source heading only | There must be at least one explicit authority edge. | No control root. | Legitimate decision edge. | AUTHORITY | master seat candidate | Boundary statement. | Command integrity. | Hidden bosses. | Too-rigid sovereignty. | S052 | S066,S041 | A087 | S001 | yes | Earliest dependency candidate. | INFERENCE.
S076 | Group 4 Minimum Operating Anchors | One active ball | L1400 | UNKNOWN from source heading only | UNKNOWN from source heading only | Keep one bounded active object. | Scatter. | Current focus. | ACTIVE BALL | station support method | Ball record. | Attention. | Flow loss. | Queue starvation. | S053 | S026 | A102 | S001 | maybe | Supports execution, not root authority. | INFERENCE.
S077 | Group 4 Minimum Operating Anchors | One corrected station order | L1403 | UNKNOWN from source heading only | UNKNOWN from source heading only | A minimum route must exist. | Chaotic sequencing. | Allowed flow. | MULTI-STATION | master seat candidate | Route map. | Safe order. | Step inversion. | Rigidity. | S015 | S052-S064 | A096 | S022 | yes | Defines how work moves. | INFERENCE.
S078 | Group 4 Minimum Operating Anchors | One evidence rule | L1406 | UNKNOWN from source heading only | UNKNOWN from source heading only | At least one rule must distinguish proof from claim. | Vibe truth. | Evidence floor. | JUDGE | master seat candidate | Evidence criterion. | Verdict integrity. | False proof. | Dogmatism. | S032 | S003,S010,S029,S065 | A041 | S058 | yes | Needed before reliable judgment. | INFERENCE.
S079 | Group 4 Minimum Operating Anchors | One inhibition rule | L1409 | UNKNOWN from source heading only | UNKNOWN from source heading only | At least one rule must stop unsafe action. | Unbounded acting. | Brake condition. | BLOCK | master seat candidate | Inhibition trigger. | Safety. | Cascading harm. | Overblocking. | S069 | S023,S025,S043 | A057 | S063 | yes | Prevents serious damage. | INFERENCE.
S080 | Group 4 Minimum Operating Anchors | One action rule | L1412 | UNKNOWN from source heading only | UNKNOWN from source heading only | At least one rule governs what may happen after judgment. | Judgment-action blur. | Allowed next move. | PROMOTE / PARK / BLOCK | master seat candidate | Action criterion. | Boundary clarity. | Unauthorized action. | Decision drag. | S063 | S045,S046 | A077 | S058 | yes | Needed to resolve verdicts safely. | INFERENCE.
S081 | Group 4 Minimum Operating Anchors | One memory rule | L1415 | UNKNOWN from source heading only | UNKNOWN from source heading only | Preserve enough state to recover and learn. | Amnesia. | Durable memory. | SAVE / SEAL | master seat candidate | Memory record. | Recovery. | Repeated rediscovery. | Hoarding. | S065 | S007,S029,S044 | A084,A088 | S073 | yes | Required for continuity and recovery. | INFERENCE.
S082 | Group 4 Minimum Operating Anchors | One feedback rule | L1418 | UNKNOWN from source heading only | UNKNOWN from source heading only | Reviewed results must alter future handling. | Static process. | Learning loop. | CONTINUE | parent method | Feedback rule. | Adaptation. | Repeated mistakes. | Endless tweaking. | S073 | S049 | A068,A089 | S064 | maybe | Strong parent, downstream in dependency order. | INFERENCE.
S083 | Group 5 Small Front-Door Pieces | A tiny front-door launcher | L1451 | UNKNOWN from source heading only | UNKNOWN from source heading only | Give users a simple way in. | System intimidation. | First action. | PUBLIC / FRONT DOOR | public/front-door method | Launcher test. | Adoption. | Users bounce. | Oversimplification. | none | S084-S088 | A097 | S074 | no | Public-facing aid, not doctrine core. | INFERENCE.
S084 | Group 5 Small Front-Door Pieces | A one-file memory/update pack | L1454 | UNKNOWN from source heading only | UNKNOWN from source heading only | Compress the minimum state into a portable pack. | Startup friction. | Current memory. | PUBLIC / FRONT DOOR | public/front-door method | Pack content test. | Continuity. | Missing context. | Single-file overloading. | S081 | S085 | A104 | S068 | maybe | Front-door plus memory bridge. | INFERENCE.
S085 | Group 5 Small Front-Door Pieces | A current-ball surface | L1457 | UNKNOWN from source heading only | UNKNOWN from source heading only | Show the current focus plainly. | Lost thread. | Active ball. | PUBLIC / FRONT DOOR | public/front-door method | Surface example. | Focus. | Drift. | Dashboard bloat. | S076 | S026 | A103 | S053 | no | User aid. | INFERENCE.
S086 | Group 5 Small Front-Door Pieces | A station checklist | L1460 | UNKNOWN from source heading only | UNKNOWN from source heading only | Show the route in usable steps. | Route opacity. | Current step. | PUBLIC / FRONT DOOR | public/front-door method | Checklist test. | Comprehension. | Missed steps. | Ritualism. | S077 | S017 | A048 | S015 | no | Public support. | INFERENCE.
S087 | Group 5 Small Front-Door Pieces | A proof row template | L1464 | UNKNOWN from source heading only | UNKNOWN from source heading only | Standardize evidence capture. | Inconsistent receipts. | Minimum proof fields. | PUBLIC / FRONT DOOR | public/front-door method | Template example. | Evidence quality. | Missing proof details. | Template worship. | S078 | S003,S029 | A104 | S065 | maybe | Public-facing child of evidence rule. | INFERENCE.
S088 | Group 5 Small Front-Door Pieces | A blocked-action line | L1467 | UNKNOWN from source heading only | UNKNOWN from source heading only | State what may not happen. | Unsafe ambiguity. | Prohibited move. | PUBLIC / FRONT DOOR | public/front-door method | Blocked-action statement. | Safety. | Silent overreach. | Fearful inactivity. | S079 | S043 | A057 | S069 | maybe | Public-facing child of inhibition. | INFERENCE.

============================================================
SECTION 3 - OUTSIDE METHOD EXPANSION

ADDED METHOD POLICY
INFERENCE:
- Added only when the method materially helps truth-finding, diagnosis, debugging, preservation, repair, recovery, decision-making, risk control, authority control, or safe action.
- Near-duplicates were allowed when they answer a distinct operational question.
- Added methods do not become doctrine by inclusion.

FIELD ORDER FOR EVERY ROW
ID | Source group | Source heading | Source line reference if available | Clean Seed use from source | Rule extracted from source | Plain meaning | Problem it helps solve | What it helps find | Likely station | Candidate role | Evidence needed | What it protects | Risk if missing | Risk if overused | Possible parent | Possible children | Possible cousins | Possible bridge links | Master-seat candidate? | Reason | Notes

A001 | Software / systems debugging | Rubber-duck debugging | n/a | n/a | n/a | Explain the problem aloud to expose hidden assumptions. | Mental stuckness. | Missing step or contradiction. | JUDGE | optional special lens | Problem statement before/after. | Reasoning clarity. | Needless escalation. | Mistaking narration for proof. | S008 | none | A072 | A086 | no | Helpful local lens, not system control. | INFERENCE.
A002 | Software / systems debugging | Binary search debugging | n/a | n/a | n/a | Repeatedly halve the search space. | Large ambiguous fault region. | Fault boundary. | JUDGE | child method | Known good/bad bounds. | Efficient diagnosis. | Slow wandering. | Bad if system is not monotonic. | A020 | A004 | A003 | S013 | no | Child debugging tactic. | INFERENCE.
A003 | Software / systems debugging | Delta debugging | n/a | n/a | n/a | Minimize the change set that reproduces failure. | Many simultaneous changes. | Minimal failure-inducing difference. | JUDGE | child method | Repro case and change subsets. | Repair precision. | Guess repairs. | Expensive combinatorics. | A020 | none | A002 | A007 | no | Child of comparison. | INFERENCE.
A004 | Software / systems debugging | Git bisect | n/a | n/a | n/a | Search version history for the first bad change. | Unknown regression origin. | First bad commit. | JUDGE | child method | Version history plus test oracle. | Repair targeting. | Random rollback. | False result if test is flaky. | A002 | none | S044 | A007 | no | Specialized child. | INFERENCE.
A005 | Software / systems debugging | Unit testing | n/a | n/a | n/a | Test a small unit in isolation. | Local correctness uncertainty. | Function-level defect. | SEAL / REVIEW | evidence method | Test case and expected result. | Component reliability. | Hidden bugs. | Testing fragments while system still fails. | S010 | A006,A007 | A008 | S061 | no | Evidence child. | INFERENCE.
A006 | Software / systems debugging | Integration testing | n/a | n/a | n/a | Test components together. | Interface failures. | Contract break. | REVIEW | evidence method | Integration scenario. | System behavior. | Green units, broken system. | Test matrix explosion. | S010 | none | A005 | S062 | maybe | Broad evidence value. | INFERENCE.
A007 | Software / systems debugging | Regression testing | n/a | n/a | n/a | Re-test known behavior after change. | Repairs breaking old behavior. | Reintroduced defect. | REVIEW | evidence method | Baseline suite. | Stability. | Old failures return. | Slow release if unbounded. | S010 | none | A005,A006 | S045 | yes | Protects promotion from known regressions. | INFERENCE.
A008 | Software / systems debugging | Smoke testing | n/a | n/a | n/a | Run a quick coarse check that the system basically works. | Shipping obviously broken states. | Gross failure. | REVIEW | child method | Small smoke suite. | Minimum operability. | Wasted deep review on dead build. | False reassurance. | A007 | none | A005 | S074 | no | Useful fast lens. | INFERENCE.
A009 | Software / systems debugging | Canary release | n/a | n/a | n/a | Expose change to a small slice before full release. | Unknown field risk. | Early deployment failure. | PROMOTE | risk method | Canary metrics. | Rollout safety. | Full-blast defect. | Misreading tiny sample. | S045 | none | A079 | S020 | maybe | Strong release child. | INFERENCE.
A010 | Software / systems debugging | Feature flags | n/a | n/a | n/a | Decouple deployment from activation. | Need to ship but not expose yet. | Safer control point. | PROMOTE / BLOCK | recovery method | Flag state record. | Reversibility. | Hard rollback. | Flag debt. | S045 | none | S043 | A077 | maybe | Good recovery bridge. | INFERENCE.
A011 | Software / systems debugging | Observability | n/a | n/a | n/a | Instrument the system so internal state becomes visible. | Black-box failures. | What the system is doing. | CONTINUE / REVIEW | evidence method | Logs, metrics, traces. | Diagnosis. | Blind operation. | Data overload. | S029 | A012,A013 | A028 | S073 | yes | Enables repeatable inspection of live behavior. | INFERENCE.
A012 | Software / systems debugging | Log correlation | n/a | n/a | n/a | Join events across sources by time, ID, or trace. | Fragmented logs. | Related event chain. | JUDGE | evidence method | Correlation key. | Cause tracing. | Misattribution. | False links. | A011 | none | A013 | S038 | no | Child evidence method. | INFERENCE.
A013 | Software / systems debugging | Distributed tracing | n/a | n/a | n/a | Follow one request across services. | Cross-service opacity. | Path of one transaction. | JUDGE | evidence method | Trace IDs and spans. | System diagnosis. | Lost blame chain. | Tracing cost. | A011 | none | A012 | S038 | no | Child evidence method. | INFERENCE.
A014 | Software / systems debugging | Postmortem analysis | n/a | n/a | n/a | Review an incident after stabilization to learn. | Repeated failures. | Causes, contributing factors, lessons. | REVIEW / CONTINUE | recovery method | Incident timeline. | Learning. | Recurrence. | Blame theater. | S047 | A068 | S049 | S073 | maybe | Strong recovery bridge. | INFERENCE.
A015 | Software / systems debugging | Fault injection | n/a | n/a | n/a | Deliberately trigger known faults to test resilience. | Untested failure handling. | Weak recovery paths. | JUDGE / REVIEW | risk method | Controlled experiment. | Resilience. | Fragile design. | Breaking live systems. | S042 | A016 | A057 | S020 | no | Useful lens, not first principle. | INFERENCE.
A016 | Software / systems debugging | Chaos engineering | n/a | n/a | n/a | Repeatedly test resilience under controlled disturbance. | Unknown systemic fragility. | Emergent failure. | REVIEW | risk method | Blast-radius control and experiments. | Reliability. | Surprise collapse. | Recklessness if uncontrolled. | A015 | none | A064 | S069 | no | Optional special lens in mature systems. | INFERENCE.
A017 | Software / systems debugging | Runbooks | n/a | n/a | n/a | Pre-write the safe response path. | Panic improvisation. | Known action sequence. | REVIEW / HANDOFF | station support method | Validated runbook. | Consistency. | Harmful improvisation. | Stale docs. | S015 | none | S017 | A068 | maybe | Operational support. | INFERENCE.
A018 | Software / systems debugging | Rollback drills | n/a | n/a | n/a | Practice returning to a safe prior state. | Rollback exists only on paper. | Recovery readiness. | REVIEW / CONTINUE | recovery method | Drill result. | Reversibility. | Failed recovery. | Excessive rollback bias. | S044 | none | A019 | S073 | maybe | Strong recovery child. | INFERENCE.
A019 | Software / systems debugging | Last-known-good checkpoint | n/a | n/a | n/a | Mark a verified safe state before risky change. | No stable recovery anchor. | Rollback target. | FREEZE / SAVE / SEAL | master seat candidate | Verified checkpoint. | Recovery and evidence. | No clean return path. | Clinging to old states. | S081 | A018 | A020 | S054 | yes | Many later actions are safer only after a checkpoint exists. | INFERENCE.
A020 | Software / systems debugging | Known-good versus known-bad comparison | n/a | n/a | n/a | Compare a working case with a failing one. | No discriminating contrast. | Difference likely tied to failure. | JUDGE | evidence method | Matched examples. | Causal clarity. | Guessing. | Over-trusting shallow diffs. | S009 | A002,A003 | A021 | S013 | maybe | Strong diagnostic parent. | INFERENCE.
A021 | Science / research | Hypothesis testing | n/a | n/a | n/a | Test a proposed explanation against data. | Unfalsified stories. | Support or rejection of claim. | JUDGE | evidence method | Hypothesis, test, criterion. | Truth quality. | Belief by anecdote. | P-value ritualism. | S008 | none | A071 | S058 | maybe | Strong evidence child. | INFERENCE.
A022 | Science / research | Literature review | n/a | n/a | n/a | Survey prior work before claiming novelty. | Reinventing settled lessons. | Existing knowledge. | CAPTURE / REVIEW | evidence method | Search trail. | Context. | Blind spots. | Citation collecting without synthesis. | A023 | none | A044 | S068 | no | Helpful intake lens. | INFERENCE.
A023 | Science / research | Systematic review | n/a | n/a | n/a | Review prior studies using explicit criteria. | Cherry-picked references. | Body-of-evidence shape. | REVIEW | evidence method | Protocol and inclusion criteria. | Evidence fairness. | Selective support. | Slow formalism. | A022 | A024 | A042 | S032 | maybe | Strong evidence method. | INFERENCE.
A024 | Science / research | Meta-analysis | n/a | n/a | n/a | Combine comparable studies quantitatively. | Conflicting small studies. | Aggregate effect. | REVIEW | evidence method | Compatible studies and model. | Estimate stability. | Overweighting noise. | False pooling. | A023 | none | A032 | S010 | no | Specialized lens. | INFERENCE.
A025 | Science / research | Design of experiments | n/a | n/a | n/a | Vary factors systematically to learn efficiently. | Confounded trial-and-error. | Factor effects and interactions. | JUDGE | parent method | Factor plan. | Causal learning. | Wasted experiments. | Too much design before need. | S008 | A026 | A032 | S020 | maybe | Strong discovery parent. | INFERENCE.
A026 | Science / research | A/B testing | n/a | n/a | n/a | Compare two variants under controlled exposure. | Product decisions by intuition. | Which variant performs better. | JUDGE | evidence method | Randomized comparison. | Decision quality. | Cosmetic opinions. | Local optimization. | A025 | none | A009 | S009 | no | Useful child. | INFERENCE.
A027 | Science / research | Measurement-system analysis | n/a | n/a | n/a | Check whether the measuring process is trustworthy. | Bad instruments produce bad proof. | Measurement error. | REVIEW | evidence method | Repeatability/reproducibility study. | Evidence validity. | False conclusions. | Analysis overhead. | A028 | none | A029 | S032 | yes | Proof is unsafe if the measuring system lies. | INFERENCE.
A028 | Science / research | Calibration | n/a | n/a | n/a | Align an instrument to a standard. | Drifted measurement. | Bias in instrument. | SAVE / REVIEW | evidence method | Calibration record. | Accuracy. | Wrong measurements. | Blind ritual without purpose. | A027 | none | A029 | S010 | maybe | Important child of measurement validity. | INFERENCE.
A029 | Science / research | Instrument validation | n/a | n/a | n/a | Show a tool measures what it claims. | Misleading tools. | Tool fitness. | REVIEW | evidence method | Validation study. | Proof quality. | Invalid evidence. | Blocking novel tools indefinitely. | A027 | none | A028 | S032 | yes | Needed before trusting tool-produced proof. | INFERENCE.
A030 | Science / research | Anomaly detection | n/a | n/a | n/a | Flag patterns that deviate from expected behavior. | Silent drift. | Unusual case. | CONTINUE | evidence method | Baseline and threshold. | Early warning. | Missed change. | Alert fatigue. | S028 | A031 | A062 | S073 | maybe | Valuable drift child. | INFERENCE.
A031 | Science / research | Outlier review | n/a | n/a | n/a | Investigate unusual points before discarding them. | Real signals thrown away. | Error versus meaningful anomaly. | JUDGE | evidence method | Outlier explanation. | Truthfulness. | Lost discovery. | Obsessing over noise. | A030 | none | A032 | S058 | no | Child lens. | INFERENCE.
A032 | Science / research | Sensitivity analysis | n/a | n/a | n/a | Test whether conclusions survive changed assumptions. | Brittle verdicts. | Robustness. | REVIEW | evidence method | Assumption variants. | Decision resilience. | False certainty. | Paralysis through endless scenarios. | A025 | none | A073 | A090 | maybe | Strong bridge from evidence to decision. | INFERENCE.
A033 | Medicine / diagnosis | SOAP notes | n/a | n/a | n/a | Separate subjective, objective, assessment, and plan. | Mixed clinical notes. | Clean note states. | SAVE / REVIEW | station support method | Structured note. | Role separation. | Confused handoff. | Template rigidity. | S067 | none | S007 | A034 | no | Useful format child. | INFERENCE.
A034 | Medicine / diagnosis | SBAR handoff | n/a | n/a | n/a | Transfer situation, background, assessment, recommendation. | Bad handoff. | Minimum shared context. | REVIEW / HANDOFF | bridge method | SBAR record. | Continuity. | Lost critical context. | Formula without thought. | S062 | none | A033 | S068 | maybe | Strong handoff bridge. | INFERENCE.
A035 | Medicine / diagnosis | Morbidity and mortality review | n/a | n/a | n/a | Review serious outcomes to improve systems. | Repeated serious failure. | System contributors. | REVIEW / CONTINUE | recovery method | Case review. | Learning. | Recurrence. | Blame culture. | A014 | none | S049 | S073 | no | Specialized recovery lens. | INFERENCE.
A036 | Medicine / diagnosis | Case conference | n/a | n/a | n/a | Bring multiple experts onto a difficult case. | Single-perspective diagnosis. | Competing interpretations. | REVIEW | optional special lens | Case summary and participants. | Judgment quality. | Missed expertise. | Committee drag. | S011 | none | A035 | S013 | no | Useful only on hard cases. | INFERENCE.
A037 | Medicine / diagnosis | Medication reconciliation | n/a | n/a | n/a | Reconcile current and intended states before change. | State mismatch. | Conflicts and omissions. | INVENTORY / REVIEW | evidence method | Current list and intended list. | Safety. | Harmful inconsistency. | Excessive paperwork. | S009 | none | A020 | S056 | maybe | Good metaphor for config/state review. | INFERENCE.
A038 | Medicine / diagnosis | Care plan | n/a | n/a | n/a | Translate diagnosis into coordinated next actions. | Good judgment with no execution plan. | Responsible action path. | PROMOTE / CONTINUE | station support method | Plan with owner and follow-up. | Continuity. | Drift. | Plan sprawl. | S063 | none | A017 | S064 | no | Downstream support. | INFERENCE.
A039 | Medicine / diagnosis | Symptom timeline | n/a | n/a | n/a | Put observed events in order before diagnosing. | Cause confusion. | Sequence. | CAPTURE / JUDGE | evidence method | Timeline. | Diagnostic clarity. | Wrong causal story. | Mistaking chronology for cause. | S039 | none | A012 | S068 | maybe | Strong evidence bridge. | INFERENCE.
A040 | Medicine / diagnosis | Differential elimination | n/a | n/a | n/a | Remove candidate causes as evidence rules them out. | Endless possibility list. | Surviving causes. | JUDGE | child method | Candidate list and discriminators. | Accurate diagnosis. | Premature conclusion. | Over-pruning. | S013 | none | A072 | A020 | no | Child of differential diagnosis. | INFERENCE.
A041 | Law / investigation | Burden of proof | n/a | n/a | n/a | Decide who must prove what before acting. | Claims with hidden obligation. | Proof threshold. | AUTHORITY / JUDGE | master seat candidate | Burden statement. | Verdict fairness. | Unsupported action. | Impossible proof demands. | S078 | S032 | A042 | S058 | yes | It defines evidence duty before judgment. | INFERENCE.
A042 | Law / investigation | Rules of evidence | n/a | n/a | n/a | Define what may support a verdict. | Dirty proof. | Admissible material. | JUDGE / REVIEW | evidence method | Evidence rule set. | Verdict integrity. | False proof. | Excluding useful exploratory signals. | S032 | none | A041 | S078 | yes | Strong parent to admissibility. | INFERENCE.
A043 | Law / investigation | Cross-examination | n/a | n/a | n/a | Stress-test testimony by questioning it. | Unchallenged account. | Contradiction or weakness. | REVIEW | optional special lens | Question trail. | Claim robustness. | Gullibility. | Hostility. | S012 | none | A046 | S011 | no | Useful adversarial lens. | INFERENCE.
A044 | Law / investigation | Citation trail review | n/a | n/a | n/a | Follow claims back to primary sources. | Citation laundering. | Original support. | CAPTURE / REVIEW | evidence method | Citation chain. | Source truth. | Repeated hearsay. | Deep chase bloat. | A022 | none | A045 | S068 | yes | Protects against borrowed authority. | INFERENCE.
A045 | Law / investigation | Source triangulation | n/a | n/a | n/a | Compare independent sources. | Single-source fragility. | Convergent truth. | REVIEW | evidence method | Independent sources. | Confidence. | False confidence from one source. | Assuming many copies are independent. | S010 | none | A044 | S032 | yes | Improves proof against fabrication and error. | INFERENCE.
A046 | Law / investigation | Witness credibility review | n/a | n/a | n/a | Evaluate reliability, incentive, and consistency of a source. | Treating all testimony alike. | Source reliability. | JUDGE | evidence method | Credibility factors. | Evidence quality. | Bad actor trusted. | Cynicism. | A045 | none | A043 | S032 | no | Child evidence lens. | INFERENCE.
