"ID","Order","Ring","Phase","Lens","RingTitle","Step","Gate","Focus","SourceBasis","Trigger","PassCondition","FailCondition","Evidence","Next","Status"
"CS-EGR-0086","86","R006","Authority","Placement","Active Anchor Boundary - Placement","01","Trigger Naming Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a signal enters this ring","the signal is named before action. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","the ring starts from mood, speed, novelty, or vague pressure","user request, source note, command output, path, citation, or prior receipt","Authority Boundary Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0087","87","R006","Authority","Placement","Active Anchor Boundary - Placement","02","Authority Boundary Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","the ring might touch files, rules, people, or status","allowed touch, blocked touch, and support-only status are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","source ore, chat, or research becomes authority by proximity","ACTIVE_ANCHOR, AGENTS, status header, user request","Live Object Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0088","88","R006","Authority","Placement","Active Anchor Boundary - Placement","03","Live Object Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","an item must be judged","the live object and its type are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","the gate acts on an unnamed mass of material","file role, object type, lane, ring focus, source disposition","Source Custody Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0089","89","R006","Authority","Placement","Active Anchor Boundary - Placement","04","Source Custody Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a concept or evidence claim is imported","source, custody, and derivation path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","a useful idea arrives with no trail","source ledger, hash, citation URL, transcript receipt, path","Word Placement Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0090","90","R006","Authority","Placement","Active Anchor Boundary - Placement","05","Word Placement Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","wording can steer behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","clean-sounding labels open the wrong door","gate title, status word, route word, pass/fail wording","Attention Salience Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0091","91","R006","Authority","Placement","Active Anchor Boundary - Placement","06","Attention Salience Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","too many signals compete","active focus and intentionally dimmed side routes are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","everything is equally loud and the route drifts","active target, blocked side route, load note, scope line","Frame And Exit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0092","92","R006","Authority","Placement","Active Anchor Boundary - Placement","07","Frame And Exit Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","the system could leave by narration instead of proof","available exits are named and proof exits are separated from explanation exits. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","a fluent answer counts as closure","exit list, blocked exit, proof closure rule","Relation Edge Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0093","93","R006","Authority","Placement","Active Anchor Boundary - Placement","08","Relation Edge Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","two items appear connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return, or watch. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","similarity is mistaken for a real relationship","relation table, graph note, source map, issue map","Risk And Dirty Import Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0094","94","R006","Authority","Placement","Active Anchor Boundary - Placement","09","Risk And Dirty Import Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","the gate could carry bad material forward","dirty conditions, coercive import, mystique import, and quarantine path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","dirty milk is carried because it looks useful","risk note, dirty import block, local-only flag, blocked-use line","Substrate Tool Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0095","95","R006","Authority","Placement","Active Anchor Boundary - Placement","10","Substrate Tool Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a method or tool is chosen","tool matches phenomenon: shell for file truth, ledger for source truth, map for relation truth, test for behavior truth. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","a bigger tool substitutes for the right substrate","command output, source ledger, map, test result, receipt","Proof Burden Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0096","96","R006","Authority","Placement","Active Anchor Boundary - Placement","11","Proof Burden Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a claim needs trust","claim touches visible evidence before PASS. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","confidence, tone, fluency, or source prestige becomes proof","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0097","97","R006","Authority","Placement","Active Anchor Boundary - Placement","12","Variation Stability Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a gate seems useful","small wording, order, and context changes do not break the route. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","the gate only works in the exact phrase that inspired it","counterexample, perturbation check, repeated source signal, disproof condition","Recursion Return Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0098","98","R006","Authority","Placement","Active Anchor Boundary - Placement","13","Recursion Return Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","output can loop back into the system","return target, next spin, and stop condition are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","output grows into loose active weight","next state, receipt footer, return trigger, watch lane","Birth Candidate Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0099","99","R006","Authority","Placement","Active Anchor Boundary - Placement","14","Birth Candidate Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","the ring exposes a missing gate","candidate birth is parked soft with reason, source basis, and non-promotion status. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","a new gate is silently installed","birth note, candidate ID, soft-room path, no-run flag","Neighbor Fit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0100","100","R006","Authority","Placement","Active Anchor Boundary - Placement","15","Neighbor Fit Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a gate touches nearby gates","neighbor effects and possible damage are checked. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","a clean-looking gate breaks adjacent lanes","affected scope, neighbor list, no-blind-move check","Verdict Status Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0101","101","R006","Authority","Placement","Active Anchor Boundary - Placement","16","Verdict Status Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, WATCH, PROMOTED, or RETIRED matches evidence. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","status words exaggerate the proof","verdict line, proof burden, guardrail, open risk","Receipt And Next State Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0102","102","R006","Authority","Placement","Active Anchor Boundary - Placement","17","Receipt And Next State Gate","active anchor, allowed work, and blocked moves; lens: home lane and relation","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic is placed by vibe or source prestige","the ring needs to close","receipt, next state, and clean stop or return trigger are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: topic receives the right house lane, neighbor slot, and order slot.","the ring leaves no trace or leaves unresolved active pressure","receipt path, hash manifest, repo status, next action","next ring or clean stop","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0103","103","R007","Authority","Proof","Active Anchor Boundary - Proof","01","Trigger Naming Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a signal enters this ring","the signal is named before action. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","the ring starts from mood, speed, novelty, or vague pressure","user request, source note, command output, path, citation, or prior receipt","Authority Boundary Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0104","104","R007","Authority","Proof","Active Anchor Boundary - Proof","02","Authority Boundary Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","the ring might touch files, rules, people, or status","allowed touch, blocked touch, and support-only status are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","source ore, chat, or research becomes authority by proximity","ACTIVE_ANCHOR, AGENTS, status header, user request","Live Object Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0105","105","R007","Authority","Proof","Active Anchor Boundary - Proof","03","Live Object Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","an item must be judged","the live object and its type are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","the gate acts on an unnamed mass of material","file role, object type, lane, ring focus, source disposition","Source Custody Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0106","106","R007","Authority","Proof","Active Anchor Boundary - Proof","04","Source Custody Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a concept or evidence claim is imported","source, custody, and derivation path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","a useful idea arrives with no trail","source ledger, hash, citation URL, transcript receipt, path","Word Placement Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0107","107","R007","Authority","Proof","Active Anchor Boundary - Proof","05","Word Placement Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","wording can steer behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","clean-sounding labels open the wrong door","gate title, status word, route word, pass/fail wording","Attention Salience Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0108","108","R007","Authority","Proof","Active Anchor Boundary - Proof","06","Attention Salience Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","too many signals compete","active focus and intentionally dimmed side routes are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","everything is equally loud and the route drifts","active target, blocked side route, load note, scope line","Frame And Exit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0109","109","R007","Authority","Proof","Active Anchor Boundary - Proof","07","Frame And Exit Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","the system could leave by narration instead of proof","available exits are named and proof exits are separated from explanation exits. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","a fluent answer counts as closure","exit list, blocked exit, proof closure rule","Relation Edge Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0110","110","R007","Authority","Proof","Active Anchor Boundary - Proof","08","Relation Edge Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","two items appear connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return, or watch. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","similarity is mistaken for a real relationship","relation table, graph note, source map, issue map","Risk And Dirty Import Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0111","111","R007","Authority","Proof","Active Anchor Boundary - Proof","09","Risk And Dirty Import Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","the gate could carry bad material forward","dirty conditions, coercive import, mystique import, and quarantine path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","dirty milk is carried because it looks useful","risk note, dirty import block, local-only flag, blocked-use line","Substrate Tool Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0112","112","R007","Authority","Proof","Active Anchor Boundary - Proof","10","Substrate Tool Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a method or tool is chosen","tool matches phenomenon: shell for file truth, ledger for source truth, map for relation truth, test for behavior truth. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","a bigger tool substitutes for the right substrate","command output, source ledger, map, test result, receipt","Proof Burden Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0113","113","R007","Authority","Proof","Active Anchor Boundary - Proof","11","Proof Burden Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a claim needs trust","claim touches visible evidence before PASS. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","confidence, tone, fluency, or source prestige becomes proof","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0114","114","R007","Authority","Proof","Active Anchor Boundary - Proof","12","Variation Stability Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a gate seems useful","small wording, order, and context changes do not break the route. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","the gate only works in the exact phrase that inspired it","counterexample, perturbation check, repeated source signal, disproof condition","Recursion Return Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0115","115","R007","Authority","Proof","Active Anchor Boundary - Proof","13","Recursion Return Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","output can loop back into the system","return target, next spin, and stop condition are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","output grows into loose active weight","next state, receipt footer, return trigger, watch lane","Birth Candidate Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0116","116","R007","Authority","Proof","Active Anchor Boundary - Proof","14","Birth Candidate Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","the ring exposes a missing gate","candidate birth is parked soft with reason, source basis, and non-promotion status. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","a new gate is silently installed","birth note, candidate ID, soft-room path, no-run flag","Neighbor Fit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0117","117","R007","Authority","Proof","Active Anchor Boundary - Proof","15","Neighbor Fit Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a gate touches nearby gates","neighbor effects and possible damage are checked. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","a clean-looking gate breaks adjacent lanes","affected scope, neighbor list, no-blind-move check","Verdict Status Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0118","118","R007","Authority","Proof","Active Anchor Boundary - Proof","16","Verdict Status Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, WATCH, PROMOTED, or RETIRED matches evidence. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","status words exaggerate the proof","verdict line, proof burden, guardrail, open risk","Receipt And Next State Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0119","119","R007","Authority","Proof","Active Anchor Boundary - Proof","17","Receipt And Next State Gate","active anchor, allowed work, and blocked moves; lens: proof burden and disproof","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic sounds true without evidence","the ring needs to close","receipt, next state, and clean stop or return trigger are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: claims touch evidence before status words grow.","the ring leaves no trace or leaves unresolved active pressure","receipt path, hash manifest, repo status, next action","next ring or clean stop","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0120","120","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","01","Trigger Naming Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a signal enters this ring","the signal is named before action. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","the ring starts from mood, speed, novelty, or vague pressure","user request, source note, command output, path, citation, or prior receipt","Authority Boundary Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0121","121","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","02","Authority Boundary Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","the ring might touch files, rules, people, or status","allowed touch, blocked touch, and support-only status are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","source ore, chat, or research becomes authority by proximity","ACTIVE_ANCHOR, AGENTS, status header, user request","Live Object Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0122","122","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","03","Live Object Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","an item must be judged","the live object and its type are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","the gate acts on an unnamed mass of material","file role, object type, lane, ring focus, source disposition","Source Custody Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0123","123","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","04","Source Custody Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a concept or evidence claim is imported","source, custody, and derivation path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","a useful idea arrives with no trail","source ledger, hash, citation URL, transcript receipt, path","Word Placement Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0124","124","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","05","Word Placement Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","wording can steer behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","clean-sounding labels open the wrong door","gate title, status word, route word, pass/fail wording","Attention Salience Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0125","125","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","06","Attention Salience Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","too many signals compete","active focus and intentionally dimmed side routes are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","everything is equally loud and the route drifts","active target, blocked side route, load note, scope line","Frame And Exit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0126","126","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","07","Frame And Exit Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","the system could leave by narration instead of proof","available exits are named and proof exits are separated from explanation exits. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","a fluent answer counts as closure","exit list, blocked exit, proof closure rule","Relation Edge Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0127","127","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","08","Relation Edge Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","two items appear connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return, or watch. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","similarity is mistaken for a real relationship","relation table, graph note, source map, issue map","Risk And Dirty Import Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0128","128","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","09","Risk And Dirty Import Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","the gate could carry bad material forward","dirty conditions, coercive import, mystique import, and quarantine path are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","dirty milk is carried because it looks useful","risk note, dirty import block, local-only flag, blocked-use line","Substrate Tool Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0129","129","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","10","Substrate Tool Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a method or tool is chosen","tool matches phenomenon: shell for file truth, ledger for source truth, map for relation truth, test for behavior truth. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","a bigger tool substitutes for the right substrate","command output, source ledger, map, test result, receipt","Proof Burden Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0130","130","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","11","Proof Burden Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a claim needs trust","claim touches visible evidence before PASS. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","confidence, tone, fluency, or source prestige becomes proof","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0131","131","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","12","Variation Stability Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a gate seems useful","small wording, order, and context changes do not break the route. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","the gate only works in the exact phrase that inspired it","counterexample, perturbation check, repeated source signal, disproof condition","Recursion Return Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0132","132","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","13","Recursion Return Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","output can loop back into the system","return target, next spin, and stop condition are named. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","output grows into loose active weight","next state, receipt footer, return trigger, watch lane","Birth Candidate Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0133","133","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","14","Birth Candidate Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","the ring exposes a missing gate","candidate birth is parked soft with reason, source basis, and non-promotion status. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","a new gate is silently installed","birth note, candidate ID, soft-room path, no-run flag","Neighbor Fit Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0134","134","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","15","Neighbor Fit Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a gate touches nearby gates","neighbor effects and possible damage are checked. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","a clean-looking gate breaks adjacent lanes","affected scope, neighbor list, no-blind-move check","Verdict Status Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0135","135","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","16","Verdict Status Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, WATCH, PROMOTED, or RETIRED matches evidence. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","status words exaggerate the proof","verdict line, proof burden, guardrail, open risk","Receipt And Next State Gate","candidate support gate; NO-RUN; not active doctrine"
"CS-EGR-0136","136","R008","Authority","Recursive Return","Active Anchor Boundary - Recursive Return","17","Receipt And Next State Gate","active anchor, allowed work, and blocked moves; lens: loop-back and stop behavior","ACTIVE_ANCHOR and active guide boundary; lens guardrail: the topic produces endless active weight","the ring needs to close","receipt, next state, and clean stop or return trigger are visible. Ring clean result: support artifacts never become doctrine by proximity. Lens clean result: output names return target, next spin, and stop condition.","the ring leaves no trace or leaves unresolved active pressure","receipt path, hash manifest, repo status, next action","next ring or clean stop","candidate support gate; NO-RUN; not active doctrine"
